Nome,Currículo Lattes,Nome em Citações Bibliográficas
Adriano Todorovic Fabro,http://lattes.cnpq.br/1950124242747561,"FABRO, A. T.;Fabro, A.T.;FABRO, ADRIANO T.;FABRO, A T"
Alcides Costa Vaz,http://lattes.cnpq.br/6295515302675804,"VAZ, A. C.;Vaz, Alcides Costa.;VAZ, ALCIDES COSTA;COSTA VAZ, ALCIDES"
Alexis Fonseca Welker,http://lattes.cnpq.br/4937425192192846,"WELKER, A.F.;Welker, A. F.;Welker, A.;WELKER, ALEXIS F.;Welker A;Welker, Alexis F.;WELKER, ALEXIS FONSECA;Welker AF;FONSECA WELKER, A.;Welker, A.F."
Carlos Alexandre Barboza Plinio dos Santos,http://lattes.cnpq.br/3401359819363735,"PLÍNIO DOS SANTOS, C. A. B.;PLÍNIO DOS SANTOS, CARLOS ALEXANDRE BARBOZA"
Ciro Martins Gomes,http://lattes.cnpq.br/6837199478107491,"GOMES, C. M.;Gomes, Ciro M.;Gomes CM;Martins Gomes C;Gomes, Ciro Martins;C. Martins Gomes;Martins Gomes, C.;Ciro Martins;Ciro Martins GOMES;GOMES, C.M.;GOMES, C MARTINS;GOMES, CIRO
"
Débora Cristina Rezende de Almeida,http://lattes.cnpq.br/7594564368472785,"ALMEIDA, D. R.;ALMEIDA, DEBORA REZENDE;ALMEIDA, DEBORA REZENDE DE;REZENDE DE ALMEIDA, DEBORA"
Diana Lúcia Moura Pinho,http://lattes.cnpq.br/8904535792313647,"PINHO, D. L. M.;Pinho, Diana Lucia Moura;PINHO, DIANA LÃºCIA MOURA;Pinho, Diana Lúcia Moura;MOURA PINHO, DIANA LÚCIA;Pinho, DLMP;Pinho, D.L.M;Pinho, Diana;Pinho, DLM"
Elaine Venson,http://lattes.cnpq.br/2952087768735076,"VENSON, E.;VENSON, ELAINE"
Fabio Comes de Castro,http://lattes.cnpq.br/3885726593350547,"Castro, F. C.;CASTRO, F.C.;CASTRO, FÁBIO"
Felipe Augusto dos Santos Mendes,http://lattes.cnpq.br/6486458354619269,"MENDES, Felipe Augusto dos Santos;Mendes, FAdS;dos Santos Mendes FA;Mendes, Felipe Augusto;Mendes, FAS;DOS SANTOS MENDES, FELIPE A.;dos Santos Mendes, FA;Felipe Augusto dos Santos Mende"
Felipe Malheiros Gawryszewski,http://lattes.cnpq.br/9809641961645884,"GAWRYSZEWSKI, F. M.;GAWRYSZEWSKI, FELIPE M.;Gawryszewski, F.M.;M. GAWRYSZEWSKI, FELIPE;GAWRYSZEWSKI, FELIPE M"
