Authors,Title,Year,Link,Affiliations,Authors with affiliations
"Korre M., Loh K., Eshleman E.J., Lessa F.S., Porto L.G., Christophi C.A., Kales S.N.","Recruit fitness and police academy performance: A prospective validation study",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079349061&doi=10.1093%2foccmed%2fkqz110&partnerID=40&md5=76b4623959b12f5d4b1792eaf73933b8","Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States; Cambridge Health Alliance, Harvard Medical School, Cambridge, MA, United States; Department of Health and Human Physiological Sciences, Skidmore College, Saratoga Springs, NY, United States; Occupational Medicine, Portland, OR, United States; Workers' Health Coordination, Oswaldo Cruz Foundation (Fiocruz), Rio de Janeiro, RJ, Brazil; Faculty of Physical Education of the University of Brasilia, Campus Darcy Ribeiro, Brasilia, DF, Brazil; Cyprus International Institute for Environmental and Public Health, Cyprus University of Technology, Limassol, Cyprus","Korre, M., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Cambridge Health Alliance, Harvard Medical School, Cambridge, MA, United States, Department of Health and Human Physiological Sciences, Skidmore College, Saratoga Springs, NY, United States; Loh, K., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Occupational Medicine, Portland, OR, United States; Eshleman, E.J., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Cambridge Health Alliance, Harvard Medical School, Cambridge, MA, United States; Lessa, F.S., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Workers' Health Coordination, Oswaldo Cruz Foundation (Fiocruz), Rio de Janeiro, RJ, Brazil; Porto, L.G., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Faculty of Physical Education of the University of Brasilia, Campus Darcy Ribeiro, Brasilia, DF, Brazil; Christophi, C.A., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Cyprus International Institute for Environmental and Public Health, Cyprus University of Technology, Limassol, Cyprus; Kales, S.N., Department of Environmental Health, Harvard T.H. Chan School of Public Health, 1493 Cambridge Street, Boston, MA  02139, United States, Cambridge Health Alliance, Harvard Medical School, Cambridge, MA, United States"
"Ribeiro G., Jr., Dos Santos C.G.S., Lanza F., Reis J., Vaccarezza F., Diniz C., Miranda D.L.P., De Araújo R.F., Cunha G.M., De Carvalho C.M.M., Fonseca E.O.L., Dos Santos R.F., De Sousa O.M.F., Reis R.B., De Araújo W.N., Gurgel-Goncąlves R., Dos Reis M.G.","Wide distribution of Trypanosoma cruzi-infected triatomines in the State of Bahia, Brazil",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077249350&doi=10.1186%2fs13071-019-3849-1&partnerID=40&md5=e699380d5cdc4d8f9139369cea6f7603","Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil; SESAB/Diretoria de Vigilância Epidemiológica (DIVEP), Centro de Atencąõ À Saúde José Maria de Magalhães Netto., Av. Antônio Carlos Magalhães, s/nº, Parque Bela Vista, Salvador BA, CEP 41.820-000, Brazil; SESAB/Laboratório Central de Saúde Pública Prof, Goncąlo Moniz LACEN, Rua Waldemar Falcaõ, 12, Candeal, Salvador, BA  40296-710, Brazil; Instituto de Tecnologias da Saúde (CIMATEC ITS), Av. Orlando Gomes, 1845 Piatã, Salvador, BA  41650-010, Brazil; Faculdade de Medicina-UFBA, Rua Reitor Miguel Calmon, s/n Vale do Canela, Salvador, BA  40110-100, Brazil; Laboratório de Parasitologia Médica e Biologia de Vetores Faculdade de Medicina, Universidade de Brasília, Campus, Universitário Darcy Ribeiro, Asa Norte Brasília Distrito Federal70910-900, Brazil; Núcleo de Medicina Tropical, Faculdade de Medicina, Universidade de Brasília, Campus Universitário Darcy Ribeiro, s/n, Asa Norte Brasília Distrito Federal70910-900, Brazil; Coordenacao-Geral de Vigilancia de Zoonoses e Doencas de Transmissao Vetorial, Secretaria de Vigilância em Saúde, Ministério da Saúde, SRTV 702, Via W 5 Norte, Brasília, DF  70723-040, Brazil; Faculdades Ruy Barbosa-Wyden, Rua Theodomiro Baptista, 422-Rio Vermelho, Salvador, BA  41940-320, Brazil; Universidade Salvador-UNIFACS, Salvador, Brazil; Yale University, New Haven, CT  06520, United States","Ribeiro, G., Jr., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil, Faculdades Ruy Barbosa-Wyden, Rua Theodomiro Baptista, 422-Rio Vermelho, Salvador, BA  41940-320, Brazil; Dos Santos, C.G.S., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil, SESAB/Diretoria de Vigilância Epidemiológica (DIVEP), Centro de Atencąõ À Saúde José Maria de Magalhães Netto., Av. Antônio Carlos Magalhães, s/nº, Parque Bela Vista, Salvador BA, CEP 41.820-000, Brazil, SESAB/Laboratório Central de Saúde Pública Prof, Goncąlo Moniz LACEN, Rua Waldemar Falcaõ, 12, Candeal, Salvador, BA  40296-710, Brazil; Lanza, F., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil; Reis, J., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil; Vaccarezza, F., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil; Diniz, C., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil; Miranda, D.L.P., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil, Faculdade de Medicina-UFBA, Rua Reitor Miguel Calmon, s/n Vale do Canela, Salvador, BA  40110-100, Brazil; De Araújo, R.F., SESAB/Diretoria de Vigilância Epidemiológica (DIVEP), Centro de Atencąõ À Saúde José Maria de Magalhães Netto., Av. Antônio Carlos Magalhães, s/nº, Parque Bela Vista, Salvador BA, CEP 41.820-000, Brazil; Cunha, G.M., SESAB/Diretoria de Vigilância Epidemiológica (DIVEP), Centro de Atencąõ À Saúde José Maria de Magalhães Netto., Av. Antônio Carlos Magalhães, s/nº, Parque Bela Vista, Salvador BA, CEP 41.820-000, Brazil; De Carvalho, C.M.M., SESAB/Diretoria de Vigilância Epidemiológica (DIVEP), Centro de Atencąõ À Saúde José Maria de Magalhães Netto., Av. Antônio Carlos Magalhães, s/nº, Parque Bela Vista, Salvador BA, CEP 41.820-000, Brazil; Fonseca, E.O.L., Instituto de Tecnologias da Saúde (CIMATEC ITS), Av. Orlando Gomes, 1845 Piatã, Salvador, BA  41650-010, Brazil; Dos Santos, R.F., SESAB/Laboratório Central de Saúde Pública Prof, Goncąlo Moniz LACEN, Rua Waldemar Falcaõ, 12, Candeal, Salvador, BA  40296-710, Brazil; De Sousa, O.M.F., Coordenacao-Geral de Vigilancia de Zoonoses e Doencas de Transmissao Vetorial, Secretaria de Vigilância em Saúde, Ministério da Saúde, SRTV 702, Via W 5 Norte, Brasília, DF  70723-040, Brazil; Reis, R.B., Universidade Salvador-UNIFACS, Salvador, Brazil; De Araújo, W.N., Núcleo de Medicina Tropical, Faculdade de Medicina, Universidade de Brasília, Campus Universitário Darcy Ribeiro, s/n, Asa Norte Brasília Distrito Federal70910-900, Brazil; Gurgel-Goncąlves, R., Laboratório de Parasitologia Médica e Biologia de Vetores Faculdade de Medicina, Universidade de Brasília, Campus, Universitário Darcy Ribeiro, Asa Norte Brasília Distrito Federal70910-900, Brazil; Dos Reis, M.G., Instituto Goncąlo Moniz, Fiocruz-BA, Laboratório de Patologia e Biologia Molecular, Rua Waldemar Falcaõ, 121, Candeal-Salvador, BA  CEP: 40296-710, Brazil, Faculdade de Medicina-UFBA, Rua Reitor Miguel Calmon, s/n Vale do Canela, Salvador, BA  40110-100, Brazil, Yale University, New Haven, CT  06520, United States"
"Ferreira Portela J., Rudrigues de Souza J.P., de Sousa Tonhá M., Elias Bernardi J.V., Garnier J., Rodrigues SouzaDe J.","Evaluation of Total Mercury in Sediments of the Descoberto River Environmental Protection Area-Brazil",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077275689&doi=10.3390%2fijerph17010154&partnerID=40&md5=faaf2a9cde973a326f353c25ed020e7b","Analytical and Environmental Chemistry Laboratory, Instituto de Química, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; Geochemistry Laboratory, Institute of Geosciences, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; Life and Earth Sciences Laboratory, University of Brasilia, Planaltina, Federal District  73345-010, Brazil","Ferreira Portela, J., Analytical and Environmental Chemistry Laboratory, Instituto de Química, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; Rudrigues de Souza, J.P., Analytical and Environmental Chemistry Laboratory, Instituto de Química, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; de Sousa Tonhá, M., Geochemistry Laboratory, Institute of Geosciences, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; Elias Bernardi, J.V., Life and Earth Sciences Laboratory, University of Brasilia, Planaltina, Federal District  73345-010, Brazil; Garnier, J., Geochemistry Laboratory, Institute of Geosciences, University of Brasilia, Brasilia, Federal District  70919-970, Brazil; Rodrigues SouzaDe, J., Analytical and Environmental Chemistry Laboratory, Instituto de Química, University of Brasilia, Brasilia, Federal District  70919-970, Brazil"
"Oliveira A.R.","Knowledge to politics: Process, product and its effects on indigenous wisdom materialization in Serra da Lua/Roraima [Conhecimentos para a política: Processo, produto e seus efeitos na materialização de saberes indígenas na Serra da Lua/Roraima]",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078784841&doi=10.11606%2f2179-0892.ra.2019.165229&partnerID=40&md5=ba28f2542ae1dccf1e3c379003111d3f","Universidade de Brasília, DF, Brasília, Brazil","Oliveira, A.R., Universidade de Brasília, DF, Brasília, Brazil"
"Callisto M., Solar R., Silveira F.A.O., Saito V.S., Hughes R.M., Fernandes G.W., Gonçalves-Júnior J.F., Leitão R.P., Massara R.L., Macedo D.R., Neves F.S., Alves C.B.M.","A Humboldtian Approach to Mountain Conservation and Freshwater Ecosystem Services",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077396898&doi=10.3389%2ffenvs.2019.00195&partnerID=40&md5=2ff3bafd3115de5f777cb79f7d24d8a8","Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Departamento de Ciências Ambientais, Centro de Ciências Biológicas e da Saúde, Universidade Federal de São Carlos, São Carlos, Brazil; Amnis Opes Institute and Department of Fisheries Wildlife, Oregon State University, Corvallis, OR, United States; Laboratório de Limnologia/AquaRiparia, Departamento de Ecologia, Instituto de Ciências Biológicas, Universidade de Brasília, Brasília, Brazil; Departamento de Geografia, Instituto de Geociências, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Universidade Federal de Minas Gerais, Projeto Manuelzão, Belo Horizonte, Brazil","Callisto, M., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Solar, R., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Silveira, F.A.O., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Saito, V.S., Departamento de Ciências Ambientais, Centro de Ciências Biológicas e da Saúde, Universidade Federal de São Carlos, São Carlos, Brazil; Hughes, R.M., Amnis Opes Institute and Department of Fisheries Wildlife, Oregon State University, Corvallis, OR, United States; Fernandes, G.W., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Gonçalves-Júnior, J.F., Laboratório de Limnologia/AquaRiparia, Departamento de Ecologia, Instituto de Ciências Biológicas, Universidade de Brasília, Brasília, Brazil; Leitão, R.P., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Massara, R.L., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Macedo, D.R., Departamento de Geografia, Instituto de Geociências, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Neves, F.S., Departamento de Genética, Ecologia e Evolução, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Alves, C.B.M., Universidade Federal de Minas Gerais, Projeto Manuelzão, Belo Horizonte, Brazil"
"Resende R.S., Tello Sáenz C.A., Pereira L.A.S., Dantas E.L.","The effect of chemical and physical imperfections in zircon grains in influencing the U-Pb age analyses: Insights from zircon fission track etching",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069718010&doi=10.1016%2fj.lithos.2019.07.005&partnerID=40&md5=417649975ed04dea82f39c1414fd859b","Department of Physics, Paulista State University, UNESP, Presidente Prudente, SP CEP  19060-900, Brazil; Laboratory of Geochronological Studies, Geodynamics and Environment, Institute of Geosciences, University of Brasília, Brasília, DF CEP  70910-900, Brazil","Resende, R.S., Department of Physics, Paulista State University, UNESP, Presidente Prudente, SP CEP  19060-900, Brazil; Tello Sáenz, C.A., Department of Physics, Paulista State University, UNESP, Presidente Prudente, SP CEP  19060-900, Brazil; Pereira, L.A.S., Department of Physics, Paulista State University, UNESP, Presidente Prudente, SP CEP  19060-900, Brazil; Dantas, E.L., Laboratory of Geochronological Studies, Geodynamics and Environment, Institute of Geosciences, University of Brasília, Brasília, DF CEP  70910-900, Brazil"
"dos Santos G., Figueiredo G.M., Severo U.B.","Multiple solutions for a class of singular quasilinear problems",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070912511&doi=10.1016%2fj.jmaa.2019.123405&partnerID=40&md5=89fc2094efced3f2025359e4322cae5c","Universidade Federal do Pará, Faculdade de Matemática, CEP, Belém, PA  66.075-110, Brazil; Universidade de Brasília, Departamento de Matemática, CEP, Brasília, DF  70910-900, Brazil; Universidade Federal da Paraíba, Departamento de Matemática, João Pessoa, PB CEP  58051-900, Brazil","dos Santos, G., Universidade Federal do Pará, Faculdade de Matemática, CEP, Belém, PA  66.075-110, Brazil; Figueiredo, G.M., Universidade de Brasília, Departamento de Matemática, CEP, Brasília, DF  70910-900, Brazil; Severo, U.B., Universidade Federal da Paraíba, Departamento de Matemática, João Pessoa, PB CEP  58051-900, Brazil"
"Nascimento-Viana J.B., Alcántara-Hernández R., Oliveira-Barros E., Castello Branco L.A., Feijó P.R., Soares Romeiro L.A., Nasciutti L.E., Noël F., García-Sáinz J.A., Silva C.L.M.","The α1-adrenoceptor-mediated human hyperplastic prostate cells proliferation is impaired by EGF receptor inhibition",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075308408&doi=10.1016%2fj.lfs.2019.117048&partnerID=40&md5=70eb48dbe7b19da3319812d120ebe108","Laboratory of Molecular and Biochemical Pharmacology, Universidade Federal Do Rio de Janeiro, Brazil; Instituto de Fisiología Celular, Universidad Nacional Autónoma de México, Mexico; Cell Biology and Development Research Program, Universidade Federal Do Rio de Janeiro, Brazil; Pharmaceutical Sciences, Universidade de Brasília, Brazil","Nascimento-Viana, J.B., Laboratory of Molecular and Biochemical Pharmacology, Universidade Federal Do Rio de Janeiro, Brazil; Alcántara-Hernández, R., Instituto de Fisiología Celular, Universidad Nacional Autónoma de México, Mexico; Oliveira-Barros, E., Cell Biology and Development Research Program, Universidade Federal Do Rio de Janeiro, Brazil; Castello Branco, L.A., Cell Biology and Development Research Program, Universidade Federal Do Rio de Janeiro, Brazil; Feijó, P.R., Laboratory of Molecular and Biochemical Pharmacology, Universidade Federal Do Rio de Janeiro, Brazil; Soares Romeiro, L.A., Pharmaceutical Sciences, Universidade de Brasília, Brazil; Nasciutti, L.E., Cell Biology and Development Research Program, Universidade Federal Do Rio de Janeiro, Brazil; Noël, F., Laboratory of Molecular and Biochemical Pharmacology, Universidade Federal Do Rio de Janeiro, Brazil; García-Sáinz, J.A., Instituto de Fisiología Celular, Universidad Nacional Autónoma de México, Mexico; Silva, C.L.M., Laboratory of Molecular and Biochemical Pharmacology, Universidade Federal Do Rio de Janeiro, Brazil"
"Satgé F., Hussain Y., Xavier A., Zolá R.P., Salles L., Timouk F., Seyler F., Garnier J., Frappart F., Bonnet M.-P.","Unraveling the impacts of droughts and agricultural intensification on the Altiplano water resources",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070860611&doi=10.1016%2fj.agrformet.2019.107710&partnerID=40&md5=7fe02fb775f815818e2a9b338e65f9c1","Espace Développement (ESPACE-DEV) (UMR 228, IRD), Montpellier, France; Instituto de Geociências (IG), Universidade de Brasilia (UnB), Brasilia, DF, Brazil; Departamento de Engenharia Civil e Ambiental /UnB, Brasilia, Brazil; Instituto de Hidraulica e Hidrologia (IHH), Universidad Mayor de San Andres (UMSA), La Paz, Bolivia; Géosciences Environnement Toulouse (GET) (UMR 5563, IRD), Toulouse, France; Laboratoire d'Etudes en Géophysique et Océanographie Spatiales (LEGOS) (UMR 5566), Université de Toulouse, CNES, CNRS, IRD, UPS - 14 avenue Edouard Belin, Toulouse, 31400, France","Satgé, F., Espace Développement (ESPACE-DEV) (UMR 228, IRD), Montpellier, France; Hussain, Y., Instituto de Geociências (IG), Universidade de Brasilia (UnB), Brasilia, DF, Brazil, Departamento de Engenharia Civil e Ambiental /UnB, Brasilia, Brazil; Xavier, A., Instituto de Geociências (IG), Universidade de Brasilia (UnB), Brasilia, DF, Brazil; Zolá, R.P., Instituto de Hidraulica e Hidrologia (IHH), Universidad Mayor de San Andres (UMSA), La Paz, Bolivia; Salles, L., Instituto de Geociências (IG), Universidade de Brasilia (UnB), Brasilia, DF, Brazil; Timouk, F., Géosciences Environnement Toulouse (GET) (UMR 5563, IRD), Toulouse, France; Seyler, F., Espace Développement (ESPACE-DEV) (UMR 228, IRD), Montpellier, France; Garnier, J., Instituto de Geociências (IG), Universidade de Brasilia (UnB), Brasilia, DF, Brazil; Frappart, F., Laboratoire d'Etudes en Géophysique et Océanographie Spatiales (LEGOS) (UMR 5566), Université de Toulouse, CNES, CNRS, IRD, UPS - 14 avenue Edouard Belin, Toulouse, 31400, France; Bonnet, M.-P., Espace Développement (ESPACE-DEV) (UMR 228, IRD), Montpellier, France"
"Gomes B.R.B., de Sousa G.L.S., Ott D., Murgott J., de Sousa M.V., de Souza P.E.N., Roth J., Veiga-Souza F.H.","Cytoglobin Attenuates Neuroinflammation in Lipopolysaccharide-Activated Primary Preoptic Area Cells via NF-κB Pathway Inhibition",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077281418&doi=10.3389%2ffnmol.2019.00307&partnerID=40&md5=5641df1eea32a5dfa9b1543c7cc6389f","Laboratory of Protein Chemistry and Biochemistry, Department of Cell Biology, Institute of Biology, University of Brasília, Brasília, Brazil; School of Ceilandia, University of Brasília, Brasília, Brazil; Veterinary Physiology, Faculty of Veterinary Medicine, Justus-Liebig-University of Giessen, Giessen, Germany; Laboratory of Electron Paramagnetic Resonance, Institute of Physics, University of Brasília, Brasília, Brazil","Gomes, B.R.B., Laboratory of Protein Chemistry and Biochemistry, Department of Cell Biology, Institute of Biology, University of Brasília, Brasília, Brazil; de Sousa, G.L.S., School of Ceilandia, University of Brasília, Brasília, Brazil; Ott, D., Veterinary Physiology, Faculty of Veterinary Medicine, Justus-Liebig-University of Giessen, Giessen, Germany; Murgott, J., Veterinary Physiology, Faculty of Veterinary Medicine, Justus-Liebig-University of Giessen, Giessen, Germany; de Sousa, M.V., Laboratory of Protein Chemistry and Biochemistry, Department of Cell Biology, Institute of Biology, University of Brasília, Brasília, Brazil; de Souza, P.E.N., Laboratory of Electron Paramagnetic Resonance, Institute of Physics, University of Brasília, Brasília, Brazil; Roth, J., Veterinary Physiology, Faculty of Veterinary Medicine, Justus-Liebig-University of Giessen, Giessen, Germany; Veiga-Souza, F.H., Laboratory of Protein Chemistry and Biochemistry, Department of Cell Biology, Institute of Biology, University of Brasília, Brasília, Brazil, School of Ceilandia, University of Brasília, Brasília, Brazil"
