Authors,Year,Link,Affiliations,Authors with affiliations
"Lima M.F., Inoue-Nagata A.K., Reifschneider F.J.B., Ferraz R.M., Ulhoa A.B., Souza K.R.R.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859395382&doi=10.17660%2fActaHortic.2011.917.40&partnerID=40&md5=6e89e812d43952af8358e720af2a54af","Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Universidade de Brasília, Brasília, Brazil; Faculdade da Terra de Brasília, Brasília, DF, Brazil","Lima, M.F., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Inoue-Nagata, A.K., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Reifschneider, F.J.B., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Ferraz, R.M., Universidade de Brasília, Brasília, Brazil; Ulhoa, A.B., Faculdade da Terra de Brasília, Brasília, DF, Brazil; Souza, K.R.R., Faculdade da Terra de Brasília, Brasília, DF, Brazil"
"Lima M.F., Inoue-Nagata A.K., Reifschneider F.J.B., Ferraz R.M., Souza K.R.R., Ulhoa A.B.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859376277&doi=10.17660%2fActaHortic.2011.917.37&partnerID=40&md5=4c59749fe52290f739c85c226da7463f","Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Universidade de Brasília, Brasilia, Brazil; Faculdade da Terra de Brasília, Brasília, DF, Brazil","Lima, M.F., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Inoue-Nagata, A.K., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Reifschneider, F.J.B., Embrapa Hortaliças (Embrapa Vegetables), Cx. Postal 218 70.351-970, Brasília, DF, Brazil; Ferraz, R.M., Universidade de Brasília, Brasilia, Brazil; Souza, K.R.R., Faculdade da Terra de Brasília, Brasília, DF, Brazil; Ulhoa, A.B., Faculdade da Terra de Brasília, Brasília, DF, Brazil"
"Novaes M.R.C.G., Valadares F., Reis M.C., Gonçalves D.R., Menezes M.C.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455194848&doi=10.1590%2fS1807-59322011001200021&partnerID=40&md5=18311ff7264cbff97aa5c13891df51ce","Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil","Novaes, M.R.C.G., Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil; Valadares, F., Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil; Reis, M.C., Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil; Gonçalves, D.R., Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil; Menezes, M.C., Universidade de Brasília, School of Medicine, Institute of Health Science (ESCS), Brasília/DF, Brazil"
"Bernardes M.C., Adorno B.V., Poignet P., Zemiti N., Borges G.A.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455179027&doi=10.1109%2fIROS.2011.6048259&partnerID=40&md5=9ab040feca7cb1147edb4e900e790f76","Université Montpellier 2, LIRMM, 161 rue Ada, 34095 Montpellier, France; Universidade de Brasília, LARA, Caixa Postal 4386, 70919-970, Brasília - DF, Brazil","Bernardes, M.C., Université Montpellier 2, LIRMM, 161 rue Ada, 34095 Montpellier, France, Universidade de Brasília, LARA, Caixa Postal 4386, 70919-970, Brasília - DF, Brazil; Adorno, B.V., Université Montpellier 2, LIRMM, 161 rue Ada, 34095 Montpellier, France; Poignet, P., Université Montpellier 2, LIRMM, 161 rue Ada, 34095 Montpellier, France; Zemiti, N., Université Montpellier 2, LIRMM, 161 rue Ada, 34095 Montpellier, France; Borges, G.A., Universidade de Brasília, LARA, Caixa Postal 4386, 70919-970, Brasília - DF, Brazil"
"Weller W., da Silva C.M.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255198776&doi=10.1688%2f1861-9916_IJAR_2011_03_Weller&partnerID=40&md5=e5911fb4667cf51835dd6c6a21015213","Universidade de Brasília, Faculdade de Educação, Campus, Universitário Darcy Ribeiro, 70910-900 Brasilia, DF, Brazil","Weller, W., Universidade de Brasília, Faculdade de Educação, Campus, Universitário Darcy Ribeiro, 70910-900 Brasilia, DF, Brazil; da Silva, C.M., Universidade de Brasília, Faculdade de Educação, Campus, Universitário Darcy Ribeiro, 70910-900 Brasilia, DF, Brazil"
"Mendez N.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255192022&partnerID=40&md5=5ff96fa00ace0f4eeec3837a1d84833b","Physics Institute, University of Brasilia, Brazil","Mendez, N., Physics Institute, University of Brasilia, Brazil"
"Balachandran A.P., De Queiroz A.R.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255186447&doi=10.1007%2fJHEP11%282011%29126&partnerID=40&md5=55032b5ae3a06527c5b4da97766dc00b","Department of Physics, Syracuse University, Syracuse, NY 13244-1130, United States; International Institute of Physics (IIP-UFRN), Av. Odilon Gomes de Lima 1722, 59078-400 Natal, Brazil; Instituto de Fisica, Universidade de Brasilia, Caixa Postal 04455, 70919-970, Brasilia, DF, Brazil","Balachandran, A.P., Department of Physics, Syracuse University, Syracuse, NY 13244-1130, United States, International Institute of Physics (IIP-UFRN), Av. Odilon Gomes de Lima 1722, 59078-400 Natal, Brazil; De Queiroz, A.R., Instituto de Fisica, Universidade de Brasilia, Caixa Postal 04455, 70919-970, Brasilia, DF, Brazil"
"Alcantara G.B., Paterno L.G., Afonso A.S., Faria R.C., Pereira-Da-Silva M.A., Morais P.C., Soler M.A.G.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82655180412&doi=10.1039%2fc1cp22693b&partnerID=40&md5=6f4fd360c4df69fd92aa8565d345f0ef","Universidade de Brasília, Instituto de Física, Brasília - DF 70910-900, Brazil; Universidade Federal de São Carlos, Departamento de Química, São Carlos - SP 13565-907, Brazil; Instituto de Física de São Carlos, USP, Centro Universitário Central Paulista, 13560-250 São Carlos - SP, Brazil","Alcantara, G.B., Universidade de Brasília, Instituto de Física, Brasília - DF 70910-900, Brazil; Paterno, L.G., Universidade de Brasília, Instituto de Física, Brasília - DF 70910-900, Brazil; Afonso, A.S., Universidade Federal de São Carlos, Departamento de Química, São Carlos - SP 13565-907, Brazil; Faria, R.C., Universidade Federal de São Carlos, Departamento de Química, São Carlos - SP 13565-907, Brazil; Pereira-Da-Silva, M.A., Instituto de Física de São Carlos, USP, Centro Universitário Central Paulista, 13560-250 São Carlos - SP, Brazil; Morais, P.C., Universidade de Brasília, Instituto de Física, Brasília - DF 70910-900, Brazil; Soler, M.A.G., Universidade de Brasília, Instituto de Física, Brasília - DF 70910-900, Brazil"
"Pires K.F., Pimenta L.A.B., De Andrade M.M., Domingues D.G., Mendes C.J.M.R., Da Rocha A.F.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863571610&doi=10.1109%2fIEMBS.2011.6090960&partnerID=40&md5=c1adc298f786b3ad1d296bb3809e83a7","Faculty of Medicine, University of Brasilia, Brazil; University of Brasilia at Gama, Federal District, Brazil","Pires, K.F., Faculty of Medicine, University of Brasilia, Brazil; Pimenta, L.A.B., Faculty of Medicine, University of Brasilia, Brazil; De Andrade, M.M., University of Brasilia at Gama, Federal District, Brazil; Domingues, D.G., University of Brasilia at Gama, Federal District, Brazil; Mendes, C.J.M.R., University of Brasilia at Gama, Federal District, Brazil; Da Rocha, A.F., University of Brasilia at Gama, Federal District, Brazil"
"Da Costa M.N.J., Neto O.C.S., Ferreira J.O., Da Rocha A.F., Barbosa T.M.G.D.A.",2011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862264506&doi=10.1109%2fIEMBS.2011.6090420&partnerID=40&md5=ef3374515343f7adea464544c2b048cf","Department of Computing, Pontifical Catholic University of Gois, Goinia, GO 74605-110, Brazil; Faculty UnB Gama, University of Braslia, Braslia, DF 70910-900, Brazil","Da Costa, M.N.J., Department of Computing, Pontifical Catholic University of Gois, Goinia, GO 74605-110, Brazil; Neto, O.C.S., Department of Computing, Pontifical Catholic University of Gois, Goinia, GO 74605-110, Brazil; Ferreira, J.O., Department of Computing, Pontifical Catholic University of Gois, Goinia, GO 74605-110, Brazil; Da Rocha, A.F., Faculty UnB Gama, University of Braslia, Braslia, DF 70910-900, Brazil; Barbosa, T.M.G.D.A., Department of Computing, Pontifical Catholic University of Gois, Goinia, GO 74605-110, Brazil"
