Authors,Year,Link,Affiliations,Authors with affiliations
"Braga L.R., Carvalho T.O., Nunes A.R., Araújo K.R.O., Prado A.G.S.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011256343&doi=10.1007%2fs10973-017-6108-8&partnerID=40&md5=0bcf883505124c695fd6e97afdc3d7ef","Institute of Chemistry, University of Brasilia, C.P. 4478, Brasília, 70904-970, Brazil; Institute Federal Goiano-Campus Iporá, Iporá, 76200-000, Brazil; Institute Federal of Goiás-Campus Aguas Linda, Aguas Lindas, 72910-733, Brazil; Institute of Chemistry, University Federal of Goias, Goiânia, 74690-900, Brazil","Braga, L.R., Institute of Chemistry, University of Brasilia, C.P. 4478, Brasília, 70904-970, Brazil; Carvalho, T.O., Institute of Chemistry, University of Brasilia, C.P. 4478, Brasília, 70904-970, Brazil; Nunes, A.R., Institute Federal Goiano-Campus Iporá, Iporá, 76200-000, Brazil, Institute of Chemistry, University Federal of Goias, Goiânia, 74690-900, Brazil; Araújo, K.R.O., Institute Federal of Goiás-Campus Aguas Linda, Aguas Lindas, 72910-733, Brazil, Institute of Chemistry, University Federal of Goias, Goiânia, 74690-900, Brazil; Prado, A.G.S., Institute of Chemistry, University of Brasilia, C.P. 4478, Brasília, 70904-970, Brazil"
"Kumar A., Bashiri P., Mandal B.P., Dhindsa K.S., Bazzi K., Dixit A., Nazri M., Zhou Z., Garg V.K., Oliveira A.C., Vaishnava P.P., Naik V.M., Nazri G.-A., Naik R.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045402939&doi=10.3390%2finorganics5040067&partnerID=40&md5=f1022d4357293b918f87e0d731721e19","Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Indian Institute of Technology, Jodhpur, 342011, India; Universidade de Brasilia, Instituto de Fisica, Brasilia, DF, 70919-970, Brazil; Department of Physics, Kettering University, Flint, MI  48504, United States; Department of Natural Sciences, University of Michigan-Dearborn, Dearborn, MI  48128, United States; Electrical and Computer Engineering, Wayne State University, Detroit, MI  48202, United States","Kumar, A., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Bashiri, P., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Mandal, B.P., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Dhindsa, K.S., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Bazzi, K., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Dixit, A., Indian Institute of Technology, Jodhpur, 342011, India; Nazri, M., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Zhou, Z., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States; Garg, V.K., Universidade de Brasilia, Instituto de Fisica, Brasilia, DF, 70919-970, Brazil; Oliveira, A.C., Universidade de Brasilia, Instituto de Fisica, Brasilia, DF, 70919-970, Brazil; Vaishnava, P.P., Department of Physics, Kettering University, Flint, MI  48504, United States; Naik, V.M., Department of Natural Sciences, University of Michigan-Dearborn, Dearborn, MI  48128, United States; Nazri, G.-A., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States, Electrical and Computer Engineering, Wayne State University, Detroit, MI  48202, United States; Naik, R., Department of Physics and Astronomy, Wayne State University, Detroit, MI  48202, United States"
"Barroso L.R., Rego F.M.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042493696&doi=10.5102%2frbpp.v7i3.4824&partnerID=40&md5=d1e6755abf38cd235cc17dc8b8515580","Universidade de Yale, Brazil; UERJ, Brazil; Universidade de Harvard, United States; UNICEUB, Brazil; Centro Universitário de Brasília - UniCEUB, Brazil","Barroso, L.R., Universidade de Yale, Brazil, UERJ, Brazil, Universidade de Harvard, United States, UNICEUB, Brazil; Rego, F.M., UERJ, Brazil, Centro Universitário de Brasília - UniCEUB, Brazil"
"Ortiz A., Hauser N., Becchio R., Suzaño N., Nieves A., Sola A., Pimentel M., Reimold W.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042199390&doi=10.1016%2fj.jsames.2017.09.031&partnerID=40&md5=ee42d598037c68e0c750e2773aa5ffc5","GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina; Geochronology Laboratory, Instituto de Geociências, Universidade de Brasília, Brasília, DF  70910 900, Brazil; Museum für Naturkunde – Leibniz-Institute for Evolution and Biodiversity Research, Invalidenstrasse 43, Berlin, 10115, Germany; Humboldt Universitäet zu Berlin, Unter den Linden 6, Berlin, 10099, Germany","Ortiz, A., GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina, Geochronology Laboratory, Instituto de Geociências, Universidade de Brasília, Brasília, DF  70910 900, Brazil; Hauser, N., Geochronology Laboratory, Instituto de Geociências, Universidade de Brasília, Brasília, DF  70910 900, Brazil; Becchio, R., GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina; Suzaño, N., GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina; Nieves, A., GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina; Sola, A., GEONORTE - INENCO (Universidad Nacional de Salta – CONICET), Av. Bolivia 5150, Salta, A4400FVY, Argentina; Pimentel, M., Geochronology Laboratory, Instituto de Geociências, Universidade de Brasília, Brasília, DF  70910 900, Brazil; Reimold, W., Geochronology Laboratory, Instituto de Geociências, Universidade de Brasília, Brasília, DF  70910 900, Brazil, Museum für Naturkunde – Leibniz-Institute for Evolution and Biodiversity Research, Invalidenstrasse 43, Berlin, 10115, Germany, Humboldt Universitäet zu Berlin, Unter den Linden 6, Berlin, 10099, Germany"
"Rocha R.P., Machado M., Vaz M.G.M.V., Vinson C.C., Leite M., Richard R., Mendes L.B.B., Araujo W.L., Caldana C., Martins M.A., Williams T.C.R., Nunes-Nesi A.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032702627&doi=10.1016%2fj.algal.2017.10.021&partnerID=40&md5=ecc8bb2ae3c72b8408e8dd40d8300b47","Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Instituto de Biociências, Universidade Federal de Goiás – Regional Jataí, Goiás, 75801-615, Brazil; Departamento de Botânica, Universidade de Brasília, Brasília, DF  70910-900, Brazil; Departamento de Engenharia Agrícola, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Centro de Pesquisas e Desenvolvimento Leopoldo Américo Miguez de Mello (CENPES)/PETROBRAS, Rio de Janeiro, Rio de Janeiro  21941-915, Brazil; Max-Planck-partner Group at the Brazilian Bioethanol Science and Technology Laboratory/CNPEM, Campinas, São Paulo  13083-970, Brazil","Rocha, R.P., Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Machado, M., Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil, Instituto de Biociências, Universidade Federal de Goiás – Regional Jataí, Goiás, 75801-615, Brazil; Vaz, M.G.M.V., Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Vinson, C.C., Departamento de Botânica, Universidade de Brasília, Brasília, DF  70910-900, Brazil; Leite, M., Departamento de Engenharia Agrícola, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Richard, R., Centro de Pesquisas e Desenvolvimento Leopoldo Américo Miguez de Mello (CENPES)/PETROBRAS, Rio de Janeiro, Rio de Janeiro  21941-915, Brazil; Mendes, L.B.B., Centro de Pesquisas e Desenvolvimento Leopoldo Américo Miguez de Mello (CENPES)/PETROBRAS, Rio de Janeiro, Rio de Janeiro  21941-915, Brazil; Araujo, W.L., Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Caldana, C., Max-Planck-partner Group at the Brazilian Bioethanol Science and Technology Laboratory/CNPEM, Campinas, São Paulo  13083-970, Brazil; Martins, M.A., Departamento de Engenharia Agrícola, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil; Williams, T.C.R., Departamento de Botânica, Universidade de Brasília, Brasília, DF  70910-900, Brazil; Nunes-Nesi, A., Max-Planck Partner Group at the Departamento de Biologia Vegetal, Universidade Federal de Viçosa, Viçosa, Minas Gerais  36570-900, Brazil"
"Silva C.M.S., Vieira-Junior R.C., Trombeta J.C.R., Lima T.R., Fraga G.A., Sena M.S., Ávila E.T.P., Tibana R.A., Prestes J., Navalta J.W., Voltarelli F.A.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032376006&doi=10.1016%2fj.ramd.2016.02.005&partnerID=40&md5=0ebffe5066082fa79e603d4f478bba1a","Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; State University of Mato Grosso (UNEMAT), Cáceres, Brazil; University of Campinas (UNICAMP), Campinas, Brazil; Post-Graduate Program on Physical Education, Catholic University of Brasília (UCB), Brasília, Brazil; University of Nevada Las VegasNV, United States","Silva, C.M.S., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; Vieira-Junior, R.C., State University of Mato Grosso (UNEMAT), Cáceres, Brazil; Trombeta, J.C.R., University of Campinas (UNICAMP), Campinas, Brazil; Lima, T.R., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; Fraga, G.A., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; Sena, M.S., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; Ávila, E.T.P., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil; Tibana, R.A., Post-Graduate Program on Physical Education, Catholic University of Brasília (UCB), Brasília, Brazil; Prestes, J., Post-Graduate Program on Physical Education, Catholic University of Brasília (UCB), Brasília, Brazil; Navalta, J.W., University of Nevada Las VegasNV, United States; Voltarelli, F.A., Federal University of Mato Grosso (UFMT), Cuiabá, Brazil"
"Ribeiro M.B.T., Guzzoni V., Hord J.M., Lopes G.N., Marqueti R.D.C., De Andrade R.V., Selistre-De-Araujo H.S., Durigan J.L.Q.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027728137&doi=10.1038%2fs41598-017-09343-6&partnerID=40&md5=fc6991f648fb0ba41a88c7db67e172fa","College of Physical Education, University of Brasília, Distrito Federal, Brazil; Postdoctoral Fellowship, University of Brasília, Distrito Federal, Brazil; Department of Molecular Physiology and Biophysics, Carver College of Medicine, University of Iowa, Iowa City, United States; Department of Physiological Sciences, Center of Biological and Health Science, Federal University of São Carlos, São Carlos Sao Paulo, Brazil; Graduate Program of Rehabilitation Sciences, University of Brasilia, Distrito Federal, Brazil; Graduate Program of Genomics and Proteomics, Catholic University of Brasilia, Distrito Federal, Brazil","Ribeiro, M.B.T., College of Physical Education, University of Brasília, Distrito Federal, Brazil; Guzzoni, V., Postdoctoral Fellowship, University of Brasília, Distrito Federal, Brazil; Hord, J.M., Department of Molecular Physiology and Biophysics, Carver College of Medicine, University of Iowa, Iowa City, United States; Lopes, G.N., Department of Physiological Sciences, Center of Biological and Health Science, Federal University of São Carlos, São Carlos Sao Paulo, Brazil; Marqueti, R.D.C., Graduate Program of Rehabilitation Sciences, University of Brasilia, Distrito Federal, Brazil; De Andrade, R.V., Graduate Program of Genomics and Proteomics, Catholic University of Brasilia, Distrito Federal, Brazil; Selistre-De-Araujo, H.S., Department of Physiological Sciences, Center of Biological and Health Science, Federal University of São Carlos, São Carlos Sao Paulo, Brazil; Durigan, J.L.Q., Graduate Program of Rehabilitation Sciences, University of Brasilia, Distrito Federal, Brazil"
"Moraes L.N., Fernandez G.J., Vechetti-Júnior I.J., Freire P.P., Souza R.W.A., Villacis R.A.R., Rogatto S.R., Reis P.P., Dal-Pai-Silva M., Carvalho R.F.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026781143&doi=10.1038%2fs41598-017-07236-2&partnerID=40&md5=4008a58bfef504947a3d29882c3b951b","Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; International Center for Research (CIPE), AC Camargo Cancer Center, São Paulo, SP, Brazil; Department of Genetics and Morphology, Institute of Biological Sciences, University of Brasília (UnB), Brasília, DF, Brazil; Department of Clinical Genetics, Vejle Hospital, Institute of Regional Health Research, University of Southern Denmark, Vejle, Denmark; Faculty of Medicine, São Paulo State University (UNESP), Brazil, Botucatu, SP, Brazil","Moraes, L.N., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Fernandez, G.J., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Vechetti-Júnior, I.J., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Freire, P.P., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Souza, R.W.A., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Villacis, R.A.R., International Center for Research (CIPE), AC Camargo Cancer Center, São Paulo, SP, Brazil, Department of Genetics and Morphology, Institute of Biological Sciences, University of Brasília (UnB), Brasília, DF, Brazil; Rogatto, S.R., Department of Clinical Genetics, Vejle Hospital, Institute of Regional Health Research, University of Southern Denmark, Vejle, Denmark; Reis, P.P., Faculty of Medicine, São Paulo State University (UNESP), Brazil, Botucatu, SP, Brazil; Dal-Pai-Silva, M., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil; Carvalho, R.F., Department of Morphology, Institute of Biosciences, São Paulo State University (UNESP), Botucatu, SP, Brazil"
"Clevenger J., Chu Y., Arrais Guimaraes L., Maia T., Bertioli D., Leal-Bertioli S., Timper P., Holbrook C.C., Ozias-Akins P.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018243732&doi=10.1038%2fs41598-017-00971-6&partnerID=40&md5=610944ba3853d9ae42522f7d13039a25","Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States; Center for Applied Genetic Technologies, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Athens, GA  30602, United States; University of Brasília, Institute of Biological Sciences, Campus Darcy Ribeiro, Brasília, 70910-900, Brazil; Embrapa Genetic Resources and Biotechnology, Brasília, 70770-917, Brazil; USDA-ARS, Tifton, GA  31793, United States","Clevenger, J., Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States; Chu, Y., Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States; Arrais Guimaraes, L., Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States; Maia, T., Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States; Bertioli, D., Center for Applied Genetic Technologies, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Athens, GA  30602, United States, University of Brasília, Institute of Biological Sciences, Campus Darcy Ribeiro, Brasília, 70910-900, Brazil; Leal-Bertioli, S., Center for Applied Genetic Technologies, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Athens, GA  30602, United States, Embrapa Genetic Resources and Biotechnology, Brasília, 70770-917, Brazil; Timper, P., USDA-ARS, Tifton, GA  31793, United States; Holbrook, C.C., USDA-ARS, Tifton, GA  31793, United States; Ozias-Akins, P., Department of Horticulture, Institute of Plant Breeding, Genetics and Genomics, University of Georgia, Tifton, GA  31793, United States"
"Balakrishnan N., Saulo H., Bourguignon M., Zhu X.",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015696620&doi=10.1007%2fs00180-017-0722-6&partnerID=40&md5=491bcb13b9c2d5247f37b64717659efc","Department of Mathematics and Statistics, McMaster University, Hamilton, Canada; Departamento de Estatística, Universidade de Brasília, Brasília, Brazil; Departamento de Estatística, Universidade Federal do Rio Grande do Norte, Natal, Brazil; Department of Mathematical Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China","Balakrishnan, N., Department of Mathematics and Statistics, McMaster University, Hamilton, Canada; Saulo, H., Department of Mathematics and Statistics, McMaster University, Hamilton, Canada, Departamento de Estatística, Universidade de Brasília, Brasília, Brazil; Bourguignon, M., Departamento de Estatística, Universidade Federal do Rio Grande do Norte, Natal, Brazil; Zhu, X., Department of Mathematical Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China"
